1
100 10000 10000
44 73 574 427
15 71 906 95
43 93 937 64
22 50 536 465
70 34 27 974
44 73 580 421
37 12 478 523
18 60 422 579
46 31 403 598
13 59 493 508
10 83 931 70
82 56 978 23
22 50 154 847
57 20 148 853
90 46 845 156
55 76 65 936
8 23 319 682
5 95 393 608
84 51 256 745
68 75 726 275
97 81 340 661
58 2 480 521
47 69 198 803
44 73 675 326
45 17 962 39
92 24 979 22
34 97 496 505
69 98 728 273
92 24 762 239
62 5 479 522
1 53 797 204
81 65 288 713
48 49 65 936
94 32 769 232
81 65 366 635
74 94 744 257
28 58 491 510
17 87 507 494
84 51 62 939
57 20 159 842
39 30 799 202
85 43 877 124
50 16 158 843
86 42 619 382
36 96 695 306
42 100 598 403
67 55 202 799
6 72 617 384
53 27 408 593
47 69 183 818
96 26 244 757
51 10 174 827
26 21 330 671
11 80 45 956
80 41 944 57
67 55 241 760
90 46 416 585
59 54 599 402
51 10 715 286
5 95 102 899
4 13 68 933
3 61 621 380
46 31 677 324
36 96 775 226
2 6 290 711
16 14 868 133
83 29 288 713
13 59 686 315
1 53 390 611
43 93 134 867
29 15 694 307
69 98 652 349
3 61 643 358
8 23 25 976
55 76 610 391
1 53 312 689
67 55 528 473
84 51 247 754
57 20 198 803
66 90 542 459
85 43 531 470
5 95 505 496
6 72 46 955
20 64 556 445
60 88 487 514
29 15 515 486
51 10 894 107
74 94 445 556
45 17 888 113
39 30 770 231
46 31 11 990
15 71 481 520
97 81 200 801
21 19 777 224
35 92 202 799
62 5 946 55
87 86 151 850
89 78 442 559
67 55 740 261
52 36 932 69
21 19 416 585
45 17 360 641
63 48 742 259
78 44 635 366
22 50 618 383
79 4 531 470
38 70 649 352
28 58 29 972
81 65 758 243
12 3 955 46
25 89 131 870
78 44 942 59
53 27 524 477
42 100 724 277
44 73 159 842
22 50 207 794
91 57 89 912
83 29 531 470
83 29 227 774
38 70 120 881
85 43 577 424
94 32 630 371
8 23 350 651
33 85 264 737
94 32 139 862
56 52 255 746
51 10 130 871
22 50 773 228
31 8 322 679
54 68 752 249
19 39 183 818
44 73 176 825
60 88 687 314
68 75 949 52
28 58 186 815
51 10 362 639
53 27 842 159
38 70 148 853
1 53 437 564
11 80 891 110
90 46 170 831
43 93 633 368
82 56 517 484
70 34 560 441
31 8 149 852
68 75 222 779
63 48 319 682
36 96 825 176
69 98 626 375
88 38 7 994
59 54 355 646
10 83 478 523
59 54 542 459
26 21 575 426
6 72 741 260
82 56 518 483
37 12 182 819
15 71 870 131
27 79 734 267
82 56 166 835
16 14 873 128
82 56 709 292
60 88 767 234
22 50 907 94
36 96 220 781
97 81 266 735
16 14 785 216
95 82 488 513
14 77 744 257
99 33 624 377
6 72 674 327
16 14 369 632
43 93 478 523
43 93 778 223
78 44 885 116
92 24 898 103
11 80 59 942
38 70 277 724
70 34 87 914
68 75 622 379
97 81 59 942
13 59 515 486
97 81 770 231
49 37 321 680
18 60 126 875
23 45 580 421
39 30 680 321
26 21 24 977
22 50 498 503
99 33 85 916
71 9 786 215
94 32 439 562
46 31 349 652
31 8 257 744
23 45 440 561
19 39 604 397
84 51 525 476
34 97 573 428
10 83 413 588
64 62 505 496
57 20 639 362
98 40 219 782
14 77 452 549
81 65 83 918
52 36 27 974
62 5 578 423
22 50 675 326
17 87 353 648
44 73 916 85
17 87 837 164
78 44 355 646
47 69 381 620
14 77 770 231
23 45 912 89
30 28 993 8
93 84 686 315
26 21 564 437
45 17 709 292
87 86 455 546
47 69 438 563
11 80 781 220
56 52 180 821
83 29 401 600
99 33 787 214
46 31 681 320
32 11 56 945
23 45 61 940
32 11 559 442
13 59 906 95
60 88 916 85
28 58 818 183
47 69 372 629
33 85 3 998
74 94 464 537
19 39 894 107
61 74 521 480
65 25 961 40
22 50 670 331
4 13 515 486
98 40 359 642
60 88 504 497
94 32 2 999
15 71 137 864
34 97 711 290
69 98 712 289
9 35 653 348
9 35 372 629
97 81 234 767
94 32 363 638
58 2 821 180
6 72 329 672
35 92 740 261
94 32 937 64
96 26 122 879
64 62 295 706
46 31 819 182
65 25 163 838
65 25 616 385
67 55 373 628
74 94 554 447
44 73 154 847
39 30 25 976
72 63 581 420
21 19 730 271
89 78 518 483
64 62 714 287
19 39 201 800
94 32 49 952
39 30 585 416
63 48 529 472
58 2 15 986
10 83 287 714
50 16 118 883
31 8 167 834
44 73 26 975
24 7 167 834
44 73 39 962
76 47 551 450
24 7 743 258
45 17 318 683
56 52 403 598
23 45 566 435
19 39 282 719
12 3 817 184
80 41 724 277
40 91 513 488
72 63 167 834
92 24 490 511
33 85 322 679
25 89 785 216
44 73 547 454
45 17 160 841
15 71 511 490
51 10 746 255
79 4 103 898
42 100 414 587
72 63 601 400
27 79 382 619
80 41 547 454
98 40 27 974
42 100 240 761
91 57 124 877
86 42 727 274
12 3 415 586
46 31 332 669
10 83 356 645
5 95 656 345
87 86 922 79
60 88 727 274
18 60 731 270
13 59 81 920
14 77 257 744
20 64 535 466
2 6 553 448
72 63 814 187
71 9 954 47
42 100 186 815
23 45 577 424
94 32 77 924
95 82 709 292
37 12 447 554
81 65 329 672
63 48 132 869
77 67 793 208
28 58 17 984
39 30 319 682
7 18 566 435
63 48 225 776
40 91 856 145
64 62 184 817
76 47 431 570
43 93 222 779
15 71 710 291
7 18 613 388
71 9 360 641
16 14 327 674
61 74 20 981
24 7 696 305
25 89 841 160
78 44 586 415
46 31 294 707
85 43 736 265
55 76 676 325
40 91 906 95
50 16 728 273
74 94 235 766
87 86 641 360
62 5 735 266
63 48 980 21
5 95 581 420
56 52 695 306
40 91 572 429
55 76 308 693
83 29 273 728
34 97 916 85
92 24 705 296
51 10 724 277
70 34 998 3
52 36 597 404
7 18 187 814
13 59 169 832
52 36 238 763
62 5 446 555
59 54 670 331
93 84 395 606
48 49 191 810
71 9 901 100
39 30 560 441
6 72 10 991
50 16 993 8
39 30 255 746
95 82 257 744
64 62 85 916
5 95 510 491
61 74 548 453
38 70 259 742
6 72 575 426
58 2 443 558
74 94 960 41
10 83 133 868
39 30 673 328
51 10 17 984
43 93 460 541
25 89 741 260
40 91 1000 1
56 52 667 334
72 63 366 635
53 27 891 110
43 93 280 721
56 52 840 161
46 31 379 622
98 40 371 630
70 34 61 940
35 92 598 403
25 89 309 692
98 40 708 293
14 77 283 718
20 64 987 14
31 8 936 65
45 17 305 696
73 66 301 700
9 35 594 407
1 53 637 364
68 75 850 151
53 27 858 143
54 68 692 309
71 9 356 645
77 67 357 644
61 74 911 90
16 14 37 964
50 16 542 459
1 53 304 697
25 89 386 615
87 86 108 893
62 5 946 55
78 44 144 857
57 20 83 918
70 34 945 56
13 59 479 522
36 96 610 391
86 42 446 555
84 51 589 412
69 98 457 544
18 60 762 239
60 88 393 608
68 75 141 860
42 100 889 112
10 83 801 200
52 36 216 785
76 47 508 493
63 48 12 989
57 20 898 103
11 80 300 701
38 70 600 401
1 53 978 23
65 25 475 526
55 76 818 183
97 81 759 242
45 17 515 486
78 44 733 268
55 76 24 977
36 96 780 221
75 22 806 195
36 96 732 269
74 94 809 192
10 83 239 762
29 15 531 470
3 61 792 209
92 24 975 26
50 16 261 740
2 6 777 224
78 44 599 402
24 7 109 892
25 89 655 346
13 59 532 469
12 3 335 666
72 63 272 729
78 44 571 430
88 38 820 181
54 68 650 351
73 66 568 433
96 26 185 816
40 91 851 150
11 80 253 748
18 60 617 384
69 98 491 510
76 47 998 3
6 72 726 275
89 78 389 612
8 23 124 877
14 77 475 526
31 8 312 689
7 18 959 42
93 84 555 446
31 8 281 720
51 10 252 749
79 4 550 451
53 27 675 326
28 58 823 178
60 88 886 115
87 86 725 276
63 48 64 937
65 25 775 226
32 11 896 105
80 41 959 42
5 95 380 621
2 6 242 759
99 33 922 79
70 34 147 854
85 43 544 457
63 48 951 50
35 92 921 80
41 99 475 526
15 71 192 809
14 77 549 452
74 94 309 692
97 81 912 89
40 91 494 507
94 32 458 543
57 20 420 581
16 14 577 424
41 99 527 474
81 65 340 661
28 58 500 501
48 49 938 63
83 29 212 789
34 97 916 85
73 66 418 583
75 22 226 775
13 59 951 50
12 3 62 939
62 5 250 751
20 64 600 401
53 27 175 826
76 47 105 896
39 30 262 739
10 83 402 599
61 74 325 676
94 32 181 820
4 13 236 765
97 81 756 245
48 49 346 655
8 23 212 789
29 15 625 376
84 51 333 668
11 80 527 474
38 70 327 674
74 94 138 863
73 66 831 170
13 59 563 438
78 44 691 310
39 30 940 61
49 37 988 13
33 85 426 575
29 15 467 534
15 71 496 505
16 14 759 242
79 4 140 861
94 32 891 110
53 27 458 543
56 52 5 996
38 70 11 990
7 18 498 503
86 42 377 624
81 65 238 763
47 69 102 899
43 93 761 240
14 77 493 508
62 5 928 73
87 86 885 116
38 70 962 39
62 5 985 16
66 90 175 826
45 17 326 675
68 75 594 407
46 31 498 503
27 79 12 989
73 66 403 598
52 36 441 560
56 52 275 726
71 9 791 210
76 47 349 652
3 61 339 662
71 9 578 423
32 11 950 51
71 9 650 351
25 89 340 661
3 61 383 618
28 58 451 550
11 80 162 839
49 37 577 424
32 11 336 665
25 89 17 984
13 59 657 344
1 53 959 42
92 24 537 464
29 15 602 399
92 24 110 891
40 91 688 313
30 28 113 888
67 55 29 972
24 7 576 425
41 99 571 430
12 3 101 900
7 18 491 510
56 52 704 297
25 89 620 381
77 67 392 609
44 73 901 100
16 14 384 617
46 31 349 652
65 25 291 710
97 81 310 691
2 6 436 565
89 78 325 676
49 37 137 864
16 14 453 548
12 3 15 986
13 59 513 488
89 78 596 405
66 90 640 361
62 5 65 936
31 8 162 839
22 50 933 68
2 6 957 44
24 7 248 753
79 4 743 258
44 73 15 986
44 73 104 897
5 95 93 908
43 93 553 448
34 97 353 648
68 75 7 994
16 14 770 231
62 5 366 635
76 47 74 927
58 2 198 803
33 85 564 437
8 23 110 891
25 89 341 660
10 83 990 11
4 13 448 553
22 50 934 67
9 35 351 650
52 36 57 944
18 60 669 332
7 18 370 631
12 3 666 335
93 84 668 333
37 12 834 167
12 3 495 506
51 10 802 199
5 95 381 620
84 51 270 731
86 42 667 334
71 9 112 889
1 53 20 981
68 75 820 181
79 4 314 687
48 49 194 807
10 83 815 186
26 21 65 936
84 51 296 705
26 21 208 793
49 37 902 99
22 50 176 825
70 34 683 318
75 22 178 823
73 66 817 184
92 24 360 641
87 86 394 607
68 75 372 629
16 14 236 765
59 54 367 634
47 69 922 79
46 31 275 726
24 7 414 587
41 99 716 285
82 56 640 361
27 79 558 443
98 40 862 139
83 29 369 632
20 64 860 141
55 76 22 979
20 64 692 309
75 22 913 88
24 7 101 900
88 38 30 971
59 54 39 962
3 61 200 801
97 81 739 262
30 28 496 505
63 48 492 509
56 52 723 278
67 55 227 774
42 100 354 647
29 15 891 110
20 64 663 338
95 82 640 361
78 44 882 119
90 46 213 788
57 20 278 723
23 45 293 708
79 4 639 362
12 3 797 204
45 17 927 74
6 72 857 144
59 54 832 169
12 3 655 346
8 23 627 374
15 71 651 350
99 33 238 763
57 20 479 522
35 92 820 181
48 49 346 655
5 95 650 351
27 79 278 723
14 77 48 953
86 42 664 337
80 41 27 974
37 12 315 686
22 50 997 4
38 70 635 366
50 16 706 295
59 54 715 286
96 26 446 555
81 65 574 427
11 80 758 243
59 54 244 757
64 62 634 367
82 56 452 549
77 67 879 122
70 34 99 902
81 65 354 647
12 3 387 614
92 24 88 913
44 73 555 446
5 95 371 630
66 90 792 209
56 52 918 83
42 100 463 538
75 22 340 661
54 68 784 217
11 80 915 86
44 73 92 909
59 54 111 890
89 78 600 401
21 19 359 642
91 57 592 409
7 18 823 178
1 53 317 684
56 52 105 896
82 56 823 178
17 87 812 189
11 80 119 882
36 96 429 572
93 84 121 880
12 3 467 534
12 3 21 980
79 4 8 993
86 42 195 806
50 16 399 602
65 25 661 340
23 45 890 111
13 59 923 78
52 36 180 821
12 3 762 239
38 70 72 929
10 83 415 586
97 81 164 837
58 2 245 756
86 42 69 932
65 25 441 560
9 35 976 25
28 58 798 203
71 9 100 901
87 86 320 681
68 75 198 803
20 64 556 445
72 63 556 445
52 36 72 929
26 21 306 695
99 33 831 170
44 73 529 472
76 47 193 808
43 93 138 863
4 13 268 733
73 66 683 318
13 59 224 777
31 8 393 608
83 29 545 456
29 15 378 623
10 83 645 356
57 20 711 290
2 6 420 581
83 29 192 809
70 34 72 929
99 33 274 727
84 51 576 425
82 56 160 841
74 94 391 610
67 55 629 372
76 47 556 445
37 12 454 547
8 23 731 270
46 31 139 862
92 24 195 806
24 7 53 948
90 46 908 93
28 58 833 168
14 77 897 104
76 47 146 855
18 60 440 561
71 9 282 719
7 18 187 814
7 18 628 373
18 60 656 345
71 9 963 38
58 2 597 404
94 32 685 316
88 38 493 508
56 52 707 294
24 7 572 429
24 7 153 848
67 55 157 844
11 80 532 469
92 24 957 44
94 32 459 542
4 13 827 174
49 37 438 563
91 57 428 573
10 83 127 874
29 15 247 754
56 52 548 453
22 50 516 485
91 57 881 120
99 33 385 616
36 96 274 727
43 93 868 133
75 22 633 368
86 42 462 539
86 42 505 496
70 34 165 836
3 61 643 358
25 89 64 937
61 74 308 693
97 81 732 269
54 68 170 831
43 93 59 942
10 83 332 669
48 49 345 656
53 27 697 304
5 95 439 562
65 25 220 781
66 90 992 9
3 61 729 272
11 80 313 688
8 23 408 593
43 93 472 529
89 78 250 751
11 80 535 466
66 90 433 568
92 24 450 551
78 44 733 268
23 45 81 920
64 62 983 18
74 94 524 477
62 5 812 189
65 25 281 720
57 20 288 713
6 72 207 794
86 42 243 758
76 47 903 98
3 61 708 293
83 29 682 319
98 40 662 339
34 97 254 747
42 100 860 141
99 33 29 972
65 25 612 389
85 43 308 693
4 13 509 492
56 52 181 820
88 38 126 875
17 87 780 221
79 4 535 466
17 87 53 948
74 94 780 221
55 76 63 938
83 29 601 400
82 56 909 92
29 15 409 592
60 88 747 254
12 3 730 271
39 30 683 318
25 89 884 117
88 38 838 163
43 93 326 675
79 4 219 782
16 14 165 836
64 62 621 380
7 18 274 727
85 43 297 704
43 93 171 830
87 86 324 677
12 3 616 385
76 47 400 601
65 25 482 519
89 78 971 30
43 93 7 994
5 95 140 861
88 38 515 486
42 100 302 699
77 67 677 324
58 2 794 207
61 74 635 366
68 75 18 983
82 56 784 217
98 40 478 523
62 5 199 802
41 99 380 621
85 43 194 807
89 78 867 134
96 26 478 523
1 53 918 83
38 70 668 333
59 54 155 846
99 33 740 261
7 18 928 73
56 52 626 375
44 73 615 386
54 68 608 393
21 19 821 180
99 33 614 387
68 75 363 638
73 66 593 408
86 42 312 689
64 62 314 687
50 16 35 966
23 45 520 481
58 2 283 718
91 57 836 165
25 89 230 771
48 49 928 73
53 27 285 716
18 60 159 842
94 32 341 660
22 50 150 851
94 32 964 37
22 50 175 826
35 92 945 56
99 33 154 847
58 2 377 624
53 27 437 564
24 7 690 311
64 62 943 58
19 39 505 496
64 62 327 674
71 9 155 846
24 7 93 908
52 36 318 683
25 89 886 115
33 85 282 719
37 12 216 785
21 19 84 917
28 58 862 139
32 11 119 882
81 65 873 128
90 46 250 751
65 25 138 863
81 65 367 634
80 41 922 79
42 100 828 173
7 18 647 354
28 58 931 70
66 90 582 419
92 24 109 892
11 80 809 192
94 32 420 581
27 79 927 74
88 38 580 421
95 82 715 286
42 100 36 965
90 46 103 898
41 99 204 797
63 48 566 435
61 74 742 259
80 41 237 764
45 17 520 481
40 91 555 446
47 69 888 113
2 6 543 458
77 67 687 314
50 16 969 32
5 95 251 750
92 24 102 899
90 46 916 85
64 62 422 579
72 63 123 878
28 58 344 657
12 3 853 148
24 7 858 143
91 57 291 710
89 78 547 454
46 31 998 3
84 51 284 717
94 32 624 377
91 57 756 245
53 27 267 734
20 64 989 12
31 8 605 396
45 17 833 168
41 99 585 416
50 16 911 90
92 24 801 200
98 40 869 132
71 9 157 844
96 26 351 650
54 68 347 654
63 48 9 992
62 5 426 575
31 8 94 907
65 25 905 96
77 67 678 323
27 79 854 147
10 83 325 676
64 62 338 663
34 97 346 655
69 98 54 947
29 15 5 996
58 2 994 7
66 90 859 142
98 40 725 276
42 100 193 808
14 77 737 264
20 64 1000 1
72 63 244 757
14 77 586 415
27 79 27 974
68 75 125 876
22 50 103 898
55 76 690 311
60 88 655 346
52 36 910 91
74 94 576 425
4 13 196 805
78 44 408 593
40 91 995 6
54 68 640 361
13 59 167 834
4 13 993 8
51 10 251 750
26 21 148 853
70 34 263 738
64 62 744 257
23 45 129 872
55 76 737 264
90 46 229 772
14 77 263 738
51 10 430 571
64 62 136 865
86 42 236 765
88 38 585 416
2 6 17 984
85 43 344 657
28 58 94 907
97 81 697 304
25 89 865 136
29 15 418 583
23 45 414 587
94 32 252 749
64 62 747 254
28 58 389 612
15 71 385 616
1 53 986 15
72 63 759 242
66 90 847 154
87 86 694 307
56 52 477 524
57 20 894 107
58 2 939 62
6 72 733 268
73 66 12 989
58 2 774 227
20 64 982 19
47 69 709 292
14 77 973 28
91 57 905 96
4 13 73 928
61 74 541 460
12 3 599 402
39 30 384 617
92 24 258 743
62 5 750 251
93 84 610 391
80 41 198 803
84 51 901 100
45 17 931 70
30 28 108 893
57 20 507 494
68 75 985 16
81 65 184 817
25 89 312 689
87 86 802 199
41 99 732 269
23 45 455 546
2 6 246 755
69 98 498 503
65 25 546 455
62 5 656 345
49 37 804 197
54 68 842 159
84 51 500 501
33 85 22 979
43 93 520 481
74 94 472 529
65 25 476 525
97 81 233 768
63 48 868 133
13 59 264 737
27 79 826 175
2 6 4 997
98 40 236 765
18 60 887 114
49 37 55 946
58 2 648 353
25 89 334 667
66 90 290 711
6 72 921 80
47 69 331 670
79 4 656 345
58 2 673 328
2 6 907 94
19 39 1 1000
71 9 313 688
51 10 602 399
47 69 313 688
18 60 243 758
57 20 1000 1
69 98 574 427
66 90 443 558
79 4 978 23
20 64 627 374
59 54 202 799
30 28 349 652
96 26 440 561
67 55 919 82
41 99 892 109
16 14 537 464
48 49 203 798
2 6 34 967
26 21 158 843
39 30 905 96
72 63 996 5
84 51 259 742
74 94 241 760
44 73 698 303
63 48 336 665
4 13 420 581
46 31 696 305
57 20 505 496
99 33 953 48
57 20 366 635
79 4 871 130
9 35 856 145
6 72 820 181
36 96 582 419
28 58 562 439
97 81 355 646
71 9 743 258
29 15 395 606
94 32 265 736
35 92 516 485
36 96 762 239
52 36 490 511
18 60 711 290
34 97 826 175
12 3 210 791
67 55 263 738
9 35 386 615
91 57 731 270
80 41 690 311
65 25 976 25
27 79 23 978
77 67 520 481
46 31 693 308
83 29 950 51
58 2 668 333
69 98 131 870
89 78 507 494
23 45 458 543
31 8 834 167
69 98 254 747
92 24 439 562
1 53 862 139
72 63 296 705
12 3 256 745
98 40 731 270
60 88 198 803
50 16 325 676
86 42 719 282
31 8 443 558
20 64 160 841
27 79 988 13
75 22 63 938
2 6 958 43
54 68 412 589
31 8 274 727
59 54 460 541
80 41 528 473
63 48 786 215
81 65 180 821
32 11 612 389
94 32 410 591
55 76 22 979
81 65 341 660
55 76 53 948
11 80 611 390
79 4 514 487
32 11 876 125
11 80 209 792
41 99 499 502
98 40 330 671
38 70 335 666
19 39 363 638
26 21 259 742
20 64 102 899
71 9 175 826
36 96 664 337
97 81 920 81
98 40 647 354
57 20 922 79
5 95 345 656
89 78 528 473
26 21 508 493
98 40 263 738
38 70 839 162
46 31 758 243
53 27 667 334
54 68 214 787
40 91 1 1000
36 96 42 959
26 21 687 314
41 99 987 14
59 54 778 223
9 35 666 335
46 31 617 384
42 100 470 531
79 4 868 133
38 70 564 437
4 13 485 516
33 85 299 702
57 20 51 950
42 100 244 757
47 69 252 749
97 81 832 169
13 59 173 828
7 18 523 478
62 5 128 873
23 45 635 366
19 39 391 610
30 28 145 856
64 62 401 600
53 27 609 392
40 91 387 614
58 2 279 722
74 94 469 532
82 56 942 59
93 84 447 554
38 70 134 867
38 70 447 554
95 82 457 544
81 65 502 499
87 86 134 867
41 99 85 916
29 15 32 969
30 28 920 81
2 6 481 520
2 6 472 529
70 34 414 587
43 93 681 320
76 47 343 658
62 5 596 405
85 43 469 532
18 60 789 212
91 57 917 84
14 77 220 781
36 96 891 110
69 98 979 22
91 57 661 340
30 28 644 357
17 87 309 692
61 74 742 259
68 75 302 699
30 28 173 828
6 72 267 734
85 43 813 188
63 48 135 866
93 84 68 933
84 51 358 643
90 46 104 897
62 5 32 969
69 98 160 841
67 55 102 899
57 20 463 538
45 17 826 175
54 68 196 805
87 86 690 311
52 36 520 481
68 75 441 560
16 14 543 458
85 43 49 952
82 56 717 284
56 52 163 838
72 63 233 768
29 15 583 418
10 83 314 687
14 77 716 285
39 30 792 209
8 23 61 940
88 38 814 187
54 68 348 653
96 26 666 335
44 73 398 603
7 18 374 627
96 26 934 67
49 37 924 77
82 56 853 148
19 39 857 144
55 76 400 601
64 62 989 12
79 4 710 291
87 86 588 413
15 71 620 381
60 88 67 934
90 46 574 427
95 82 80 921
95 82 241 760
95 82 5 996
16 14 517 484
87 86 910 91
95 82 421 580
48 49 840 161
60 88 975 26
25 89 750 251
84 51 556 445
2 6 159 842
36 96 375 626
67 55 249 752
37 12 6 995
67 55 951 50
60 88 934 67
7 18 24 977
87 86 837 164
2 6 851 150
71 9 746 255
49 37 911 90
63 48 618 383
48 49 278 723
36 96 390 611
45 17 644 357
57 20 923 78
85 43 947 54
19 39 553 448
7 18 802 199
20 64 243 758
70 34 199 802
36 96 539 462
16 14 949 52
70 34 64 937
51 10 380 621
8 23 837 164
3 61 392 609
88 38 163 838
58 2 210 791
41 99 587 414
14 77 374 627
8 23 178 823
16 14 446 555
78 44 163 838
44 73 690 311
24 7 822 179
26 21 875 126
45 17 517 484
97 81 337 664
61 74 831 170
95 82 90 911
46 31 865 136
28 58 258 743
59 54 151 850
86 42 31 970
90 46 111 890
84 51 426 575
10 83 140 861
50 16 555 446
82 56 562 439
58 2 759 242
20 64 98 903
88 38 702 299
35 92 27 974
99 33 351 650
62 5 78 923
92 24 626 375
71 9 733 268
37 12 393 608
36 96 119 882
58 2 242 759
25 89 124 877
25 89 472 529
5 95 198 803
74 94 510 491
33 85 414 587
12 3 890 111
62 5 591 410
20 64 391 610
82 56 689 312
2 6 983 18
89 78 770 231
79 4 857 144
90 46 541 460
83 29 297 704
14 77 146 855
48 49 669 332
25 89 937 64
61 74 259 742
84 51 839 162
86 42 91 910
46 31 858 143
85 43 701 300
93 84 744 257
33 85 779 222
36 96 770 231
45 17 648 353
23 45 545 456
99 33 181 820
97 81 400 601
87 86 139 862
24 7 977 24
85 43 892 109
79 4 421 580
54 68 416 585
64 62 974 27
75 22 933 68
87 86 26 975
71 9 171 830
21 19 391 610
1 53 854 147
46 31 880 121
54 68 279 722
51 10 977 24
47 69 716 285
51 10 421 580
44 73 462 539
58 2 994 7
64 62 792 209
51 10 51 950
13 59 455 546
13 59 633 368
5 95 226 775
51 10 75 926
32 11 970 31
14 77 93 908
6 72 83 918
83 29 718 283
16 14 212 789
67 55 776 225
82 56 422 579
62 5 832 169
90 46 606 395
92 24 719 282
21 19 752 249
70 34 73 928
52 36 892 109
86 42 980 21
71 9 611 390
75 22 335 666
39 30 898 103
39 30 336 665
11 80 96 905
57 20 854 147
34 97 908 93
59 54 188 813
66 90 583 418
33 85 697 304
76 47 355 646
68 75 877 124
67 55 252 749
4 13 756 245
23 45 701 300
7 18 274 727
90 46 47 954
50 16 332 669
82 56 748 253
60 88 456 545
18 60 456 545
87 86 410 591
66 90 718 283
36 96 860 141
45 17 67 934
9 35 273 728
33 85 108 893
85 43 189 812
21 19 207 794
32 11 830 171
2 6 940 61
43 93 483 518
52 36 168 833
20 64 120 881
90 46 543 458
36 96 214 787
68 75 290 711
29 15 289 712
99 33 288 713
52 36 698 303
67 55 423 578
82 56 385 616
13 59 302 699
77 67 261 740
26 21 659 342
39 30 122 879
18 60 508 493
20 64 485 516
59 54 196 805
83 29 715 286
24 7 462 539
65 25 901 100
60 88 919 82
87 86 743 258
99 33 973 28
70 34 134 867
43 93 704 297
34 97 290 711
51 10 546 455
40 91 64 937
40 91 603 398
37 12 479 522
98 40 802 199
25 89 832 169
32 11 477 524
47 69 192 809
75 22 972 29
53 27 416 585
88 38 673 328
94 32 453 548
64 62 776 225
59 54 501 500
48 49 256 745
58 2 483 518
32 11 649 352
43 93 371 630
42 100 491 510
87 86 882 119
66 90 344 657
83 29 346 655
38 70 747 254
89 78 172 829
9 35 391 610
11 80 410 591
50 16 316 685
56 52 242 759
53 27 696 305
92 24 301 700
98 40 736 265
78 44 30 971
19 39 897 104
18 60 444 557
65 25 674 327
96 26 160 841
25 89 847 154
24 7 995 6
69 98 390 611
92 24 189 812
46 31 44 957
73 66 105 896
35 92 95 906
69 98 665 336
84 51 474 527
62 5 922 79
39 30 441 560
19 39 163 838
40 91 656 345
53 27 578 423
89 78 356 645
30 28 66 935
64 62 123 878
85 43 417 584
39 30 456 545
78 44 296 705
78 44 13 988
26 21 825 176
57 20 239 762
24 7 750 251
99 33 770 231
95 82 555 446
32 11 797 204
89 78 717 284
81 65 442 559
70 34 390 611
15 71 897 104
11 80 387 614
50 16 832 169
85 43 636 365
11 80 404 597
26 21 248 753
39 30 620 381
45 17 830 171
16 14 700 301
96 26 73 928
30 28 105 896
63 48 840 161
18 60 937 64
54 68 265 736
11 80 997 4
12 3 359 642
33 85 848 153
76 47 239 762
30 28 300 701
87 86 486 515
22 50 814 187
11 80 270 731
94 32 76 925
48 49 932 69
61 74 305 696
18 60 711 290
69 98 611 390
63 48 137 864
2 6 92 909
36 96 771 230
29 15 932 69
29 15 779 222
90 46 370 631
38 70 924 77
69 98 989 12
37 12 880 121
62 5 400 601
58 2 93 908
27 79 404 597
14 77 595 406
5 95 42 959
95 82 243 758
76 47 17 984
86 42 987 14
63 48 799 202
99 33 358 643
50 16 315 686
73 66 17 984
90 46 154 847
21 19 466 535
31 8 119 882
56 52 966 35
22 50 272 729
74 94 109 892
99 33 338 663
96 26 584 417
69 98 263 738
56 52 330 671
41 99 438 563
54 68 614 387
45 17 271 730
92 24 158 843
61 74 819 182
77 67 613 388
40 91 379 622
19 39 687 314
49 37 417 584
52 36 831 170
32 11 923 78
52 36 955 46
96 26 4 997
81 65 370 631
40 91 919 82
63 48 20 981
22 50 652 349
4 13 18 983
59 54 229 772
59 54 986 15
73 66 434 567
95 82 89 912
89 78 216 785
14 77 529 472
62 5 446 555
4 13 174 827
16 14 533 468
74 94 782 219
45 17 561 440
7 18 488 513
58 2 662 339
51 10 280 721
45 17 185 816
13 59 362 639
78 44 124 877
31 8 319 682
83 29 409 592
52 36 467 534
56 52 964 37
3 61 587 414
39 30 990 11
49 37 897 104
86 42 190 811
2 6 97 904
34 97 5 996
92 24 704 297
77 67 674 327
80 41 10 991
46 31 162 839
90 46 316 685
66 90 160 841
81 65 161 840
51 10 315 686
17 87 968 33
51 10 858 143
17 87 62 939
32 11 619 382
6 72 84 917
25 89 582 419
46 31 215 786
12 3 167 834
96 26 797 204
43 93 245 756
68 75 701 300
72 63 29 972
53 27 552 449
52 36 279 722
58 2 946 55
35 92 54 947
55 76 269 732
28 58 274 727
94 32 501 500
60 88 476 525
80 41 624 377
40 91 801 200
19 39 853 148
61 74 825 176
88 38 902 99
71 9 827 174
86 42 897 104
24 7 178 823
5 95 481 520
50 16 938 63
73 66 933 68
2 6 90 911
63 48 897 104
12 3 661 340
32 11 69 932
74 94 179 822
59 54 486 515
62 5 219 782
42 100 701 300
53 27 949 52
79 4 441 560
74 94 724 277
43 93 781 220
9 35 667 334
10 83 973 28
23 45 790 211
83 29 733 268
36 96 163 838
41 99 512 489
1 53 51 950
78 44 993 8
20 64 447 554
28 58 754 247
40 91 749 252
76 47 711 290
71 9 3 998
78 44 809 192
79 4 579 422
73 66 643 358
